Name,BZR
Tiergarten Süd,010111
Regierungsviertel,010112
Alexanderplatz,010113
Brunnenstraße Süd,010114
Moabit West,010221
Moabit Ost,010222
Osloer Straße,010331
Brunnenstraße Nord,010332
Parkviertel,010441
Wedding Zentrum,010442
Südliche Friedrichstadt,020101
Tempelhofer Vorstadt,020202
Nördliche Luisenstadt,020303
Südliche Luisenstadt,020304
Karl-Marx-Allee Nord,020405
Karl-Marx-Allee Süd,020407
Frankfurter Allee Nord,020506
Frankfurter Allee Süd FK,020508
Buch,030101
Blankenfelde/Niederschönhausen,030202
Buchholz,030203
Karow,030304
Blankenburg/Heinersdorf/Märchenland,030307
Schönholz/Wilhelmsruh/Rosenthal,030405
Pankow Zentrum,030406
Pankow Süd,030408
Weißensee,030509
Weißensee Ost,030510
Prenzlauer Berg Nordwest,030611
Prenzlauer Berg Nord,030612
Helmholtzplatz,030613
Prenzlauer Berg Ost,030614
Prenzlauer Berg Südwest,030715
Prenzlauer Berg Süd,030716
Charlottenburg Nord,040101
Heerstrasse,040202
Westend,040203
Schloß Charlottenburg,040304
Mierendorffplatz,040305
Otto-Suhr-Allee,040306
Neue Kantstraße,040307
Kantstraße,040308
Kurfürstendamm,040309
Halensee,040310
Grunewald,040411
Schmargendorf,040412
Wiesbadener Straße,040413
Düsseldorfer Straße,040514
Barstraße,040515
Volkspark Wilmersdorf,040516
Forst Grunewald,040617
Hakenfelde,050101
Falkenhagener Feld,050102
Spandau Mitte,050103
Brunsbütteler Damm,050204
Heerstraße Nord,050205
Wilhelmstadt,050206
Haselhorst,050307
Siemensstadt,050308
Gatow/Kladow,050409
Schloßstraße,060101
Albrechtstraße,060102
Lankwitz,060203
Ostpreußendamm,060204
Teltower Damm,060305
Drakestraße,060306
Zehlendorf Südwest,060407
Zehlendorf Nord,060408
Schöneberg Nord,070101
Schöneberg Süd,070202
Friedenau,070303
Tempelhof,070404
Mariendorf,070505
Marienfelde,070606
Lichtenrade,070707
Schillerpromenade,080101
Neuköllner Mitte/Zentrum,080102
Reuterstraße,080103
Rixdorf,080104
Köllnische Heide,080105
Britz,080206
Buckow,080207
Gropiusstadt,080308
Buckow Nord,080409
Rudow,080410
Alt-Treptow,090101
Plänterwald,090102
Baumschulenweg,090103
Johannisthal,090104
Oberschöneweide,090205
Niederschöneweide,090206
Adlershof,090207
Köllnische Vorstadt/Spindlersfeld,090208
Altglienicke,090309
Bohnsdorf,090310
Grünau,090311
Schmöckwitz/Karolinenhof/Rauchfangswerder,090312
Köpenick Süd,090413
Allende-Viertel,090414
Altstadt Kietz,090415
Müggelheim,090416
Friedrichshagen,090517
Rahnsdorf/Hessenwinkel,090518
Dammvorstadt,090519
Köpenick Nord,090520
Marzahn Nord,100101
Marzahn Mitte,100102
Marzahn Süd,100103
Hellersdorf Nord,100204
Hellersdorf Ost,100205
Hellersdorf Süd,100206
Biesdorf,100307
Kaulsdorf,100408
Mahlsdorf,100409
Malchow, Wartenberg und Falkenberg,110101
Neu-Hohenschönhausen Nord,110102
Neu-Hohenschönhausen Süd,110103
Alt-Hohenschönhausen Nord,110204
Alt-Hohenschönhausen Süd,110205
Fennpfuhl,110306
Alt-Lichtenberg,110307
Frankfurter Allee Süd,110308
Neu-Lichtenberg,110409
Friedrichsfelde Nord,110410
Friedrichsfelde Süd,110411
Rummelsburger Bucht,110512
Karlshorst,110513
Ost 1,121031
Ost 2,121032
West 1,122141
West 4,122144
West 5,122145
West 2,122242
Nord 1,122311
Nord 2,123012
MV 1,123021
MV 2,123022
West 3,123043
