Name,PGR
Zentrum,0101
Moabit,0102
Gesundbrunnen,0103
Wedding,0104
Kreuzberg Nord,0201
Kreuzberg Süd,0202
Kreuzberg Ost,0203
Friedrichshain West,0204
Friedrichshain Ost,0205
Buch,0301
Nördliches Pankow,0302
Nördliches Weißensee,0303
Südliches Pankow,0304
Südliches Weißensee,0305
Nördlicher Prenzlauer Berg,0306
Südlicher Prenzlauer Berg,0307
CW 1,0401
CW 2,0402
CW 3,0403
CW 4,0404
CW 5,0405
CW 6,0406
SPA 1,0501
SPA 2,0502
SPA 3,0503
SPA 4,0504
Region A,0601
Region B,0602
Region C,0603
Region D,0604
Schöneberg Nord,0701
Schöneberg Süd,0702
Friedenau,0703
Tempelhof,0704
Mariendorf,0705
Marienfelde,0706
Lichtenrade,0707
Neukölln,0801
Britz/Buckow,0802
Gropiusstadt,0803
Buckow Nord/Rudow,0804
Treptow-Köpenick 1,0901
Treptow-Köpenick 2,0902
Treptow-Köpenick 3,0903
Treptow-Köpenick 4,0904
Treptow-Köpenick 5,0905
Marzahn,1001
Hellersdorf,1002
Biesdorf,1003
Kaulsdorf/Mahlsdorf,1004
Hohenschönhausen Nord,1101
Hohenschönhausen Süd,1102
Lichtenberg Nord,1103
Lichtenberg Mitte,1104
Lichtenberg Süd,1105
Reinickendorf Ost,1210
Tegel,1221
Heiligensee/Konradshöhe,1222
Frohnau/Hermsdorf,1223
Waidmannslust,1230
